rank_type,channel,video_title,pattern,views,comments,buzz_score
バズスコア,Claude,Introducing Claude Design by Anthropic Labs,AI活用,701920,1163,345.77
バズスコア,Kai Lentit,Engineer leaving for Big Tech.,その他,1160467,636,331.56
バズスコア,Kai Lentit,I am monitoring the situation.,その他,352485,1721,100.71
バズスコア,Kai Lentit,AI CEO vs engineer.,比較,294494,186,84.14
バズスコア,Kai Lentit,*every corporate job*,その他,264833,237,75.67
バズスコア,Anthropic,Introducing Claude Opus 4.6,AI活用,367730,586,66.38
バズスコア,Anthropic,An initiative to secure the world's software | Project Glasswing,プロジェクト紹介,339992,949,61.37
バズスコア,Kai Lentit,Corporate Unemployee (Day in the Life),その他,212034,197,60.58
バズスコア,Anthropic,When AIs act emotional,AI活用,269948,1086,48.73
バズスコア,IndyDevDan,"My M5 Max, Gemma 4, MLX LOCAL Stack. (This KILLS MODEL PROVIDERS)",その他,40548,171,31.43
バズスコア,Fireship,Google just casually disrupted the open-source AI narrative…,AI活用,1297616,1476,30.97
バズスコア,Theo - t3․gg,This model is kind of a disaster.,その他,162307,708,30.68
バズスコア,Greg Isenberg,How AI agents & Claude skills work (Clearly Explained),AI活用,187744,233,30.63
バズスコア,Riley Brown,ChatGPT Just Became the Best AI Image Model in the World,AI活用,62857,147,28.83
バズスコア,Anthropic,Your tools are now interactive in Claude,AI活用,151964,160,27.43
バズスコア,Leonard Jo,KOCAK SUMPAH! PRANK LORD GODIVA PAKE AKUN EPIC MAIN CLAUDE SPELL REVITALIZE! LANGSUNG KAGET🤣 | MLBB,AI活用,77720,475,25.82
バズスコア,Fireship,Claude Mythos is too dangerous for public consumption...,AI活用,1037242,2240,24.76
バズスコア,AI Engineer,"""Software Fundamentals Matter More Than Ever"" — Matt Pocock",その他,100467,134,24.21
バズスコア,IndyDevDan,My Pi Agent Teams. Claude Code Leak SIGNAL. Harness Engineering,AI活用,31095,134,24.1
バズスコア,Riley Brown,Codex Full Course 2026: The NEW Best AI Coding Tool,AI活用,51841,70,23.78
バズスコア,corbin,How To Use Claude Design For Beginners,チュートリアル,39400,25,23.59
バズスコア,Alex Finn,OpenClaw Full Tutorial: Set up your first AI employee!,チュートリアル,42255,162,22.24
バズスコア,IndyDevDan,One Agent Is NOT ENOUGH: Agentic Coding BEYOND Claude Code,AI活用,27947,127,21.66
バズスコア,Theo - t3․gg,Did Anthropic just kill Figma?,その他,113266,285,21.41
バズスコア,Skill Leap AI,The New Claude Opus 4.7 Can Actually Do This Now,AI活用,68848,64,21.12
バズスコア,Theo - t3․gg,I don’t really like GPT-5.5…,その他,107540,373,20.33
バズスコア,Theo - t3․gg,Did Claude really get dumber again?,AI活用,106774,510,20.18
バズスコア,IndyDevDan,Pi CEO Agents. Claude 1M Context. Multi-Agent Teams.,AI活用,25736,97,19.95
バズスコア,Claude,"All your everyday apps, in one conversation",その他,39413,104,19.42
