rank_type,channel,video_title,pattern,views,comments,buzz_score
バズスコア,Claude,Anthropic LabsによるClaude Designをご紹介します。,AI活用,701920,1163,345.77
バズスコア,Kai Lentit,大手IT企業へ転職するエンジニア。,その他,1160467,636,331.56
バズスコア,Kai Lentit,AIのCEO対エンジニア。,AI活用,294494,186,84.14
バズスコア,Anthropic,AIが感情的に振る舞うとき,AI活用,269948,1086,48.73
バズスコア,Fireship,Googleは、オープンソースAIの常識をあっさりと覆した…。,AI活用,1297616,1476,30.97
バズスコア,Greg Isenberg,AIエージェントとクロードのスキルがどのように機能するのか（分かりやすく解説）,AI活用,187744,233,30.63
バズスコア,Riley Brown,ChatGPTが世界最高のAI画像モデルになった,AI活用,62857,147,28.83
バズスコア,Anthropic,Claudeではツールがインタラクティブになりました,AI活用,151964,160,27.43
バズスコア,IndyDevDan,私のPiエージェントチーム。クロードコードリークシグナル。ハーネスエンジニアリング,その他,31095,134,24.1
バズスコア,Riley Brown,Codex フルコース 2026：最新の最高のAIコーディングツール,AI活用,51841,70,23.78
バズスコア,corbin,Claude Designの使い方（初心者向け）,AI活用,39400,25,23.59
バズスコア,Alex Finn,OpenClaw完全チュートリアル：最初のAI従業員を設定しよう！,AI活用,42255,162,22.24
バズスコア,IndyDevDan,エージェントは1つだけでは不十分：クロード・コードを超えるエージェント・コーディング,その他,27947,127,21.66
バズスコア,IndyDevDan,Pi CEOエージェント。Claude 1Mコンテキスト。マルチエージェントチーム。,AI活用,25736,97,19.95
バズスコア,Riley Brown,GPT 5.5 + Codex が史上最高のモデルになった,その他,38005,69,17.43
バズスコア,Claude,Anthropicが製品エンジニアリングでClaudeをどのように活用しているか,AI活用,34506,78,17.0
バズスコア,Alex Finn,Claude Codeの開発者が、Claude Code（Opus 4.7）を使いこなすための7つの秘訣を公開しました。,実装例,26924,55,14.17
バズスコア,IndyDevDan,未出荷モデル第1弾：クロード・ミトス（シニアエンジニアによる解説）,その他,17773,105,13.78
バズスコア,The PrimeTime,ローラーコースタータイクーンの最適化は驚異的だ,その他,134686,467,12.24
バズスコア,NetworkChuck,ミラ・ジョヴォヴィッチがAIメモリツールを作った……なかなか良いよ,AI活用,635473,689,12.15
バズスコア,Claude,PowerPointでClaudeを使ってよりスマートに作業しましょう,AI活用,20604,27,10.15
バズスコア,NetworkChuck,iPhone版Gemma 4（ローカルAI、インターネット接続不要）,AI活用,520921,701,9.96
バズスコア,Alex Finn,これまで見た中で最高のClaude Designのワークフロー…,AI活用,16595,52,8.73
